ベンダ,"GRAPHTEC Corporation"
モデル,"GL220"
バージョン,"Ver1.06  "
測定間隔,30s
測定点数,2753      
開始時刻,2015-05-11,15:25:01
終了時刻,2015-05-12,14:21:37
トリガ時刻,2015-05-11,15:25:10
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1," CH 1",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH2," CH 2",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH3," CH 3",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH4," CH 4",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH5," CH 5",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH6," CH 6",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH7," CH 7",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH8," CH 8",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH9," CH 9",DC,2V,Off,+1.0000,-1.0000,[ V]
CH10," CH10",DC,2V,Off,+1.0000,-1.0000,[ V]
Logic/Pulse,Off
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","degC","degC","degC","degC","degC","V","V","A12345678910","AO1234"
         1,2015/05/11 15:25:10,  0,+19.2,+24.8,+25.2,+24.6,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2080,LLLLLLLLLL,LLLL
         2,2015/05/11 15:25:40,  0,+19.2,+24.7,+25.3,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.2170,LLLLLLLLLL,LLLL
         3,2015/05/11 15:26:10,  0,+19.2,+24.6,+25.3,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2035,LLLLLLLLLL,LLLL
         4,2015/05/11 15:26:40,  0,+19.3,+24.5,+25.4,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.1939,LLLLLLLLLL,LLLL
         5,2015/05/11 15:27:10,  0,+19.3,+24.3,+25.5,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.1918,LLLLLLLLLL,LLLL
         6,2015/05/11 15:27:40,  0,+19.3,+24.1,+25.6,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.1920,LLLLLLLLLL,LLLL
         7,2015/05/11 15:28:10,  0,+19.2,+24.0,+25.6,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.1987,LLLLLLLLLL,LLLL
         8,2015/05/11 15:28:40,  0,+19.2,+24.1,+25.7,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2561,LLLLLLLLLL,LLLL
         9,2015/05/11 15:29:10,  0,+19.3,+24.1,+25.7,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3718,LLLLLLLLLL,LLLL
        10,2015/05/11 15:29:40,  0,+19.3,+24.4,+25.8,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.4862,LLLLLLLLLL,LLLL
        11,2015/05/11 15:30:10,  0,+19.2,+24.4,+25.7,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5526,LLLLLLLLLL,LLLL
        12,2015/05/11 15:30:40,  0,+19.2,+24.5,+25.7,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5976,LLLLLLLLLL,LLLL
        13,2015/05/11 15:31:10,  0,+19.2,+24.6,+25.8,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.6289,LLLLLLLLLL,LLLL
        14,2015/05/11 15:31:40,  0,+19.2,+24.7,+25.7,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.6513,LLLLLLLLLL,LLLL
        15,2015/05/11 15:32:10,  0,+19.2,+24.8,+25.7,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.6681,LLLLLLLLLL,LLLL
        16,2015/05/11 15:32:40,  0,+19.2,+24.9,+25.6,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.6818,LLLLLLLLLL,LLLL
        17,2015/05/11 15:33:10,  0,+19.2,+24.9,+25.6,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.6933,LLLLLLLLLL,LLLL
        18,2015/05/11 15:33:40,  0,+19.2,+25.1,+25.5,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.7046,LLLLLLLLLL,LLLL
        19,2015/05/11 15:34:10,  0,+19.2,+25.1,+25.3,+24.6,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.7132,LLLLLLLLLL,LLLL
        20,2015/05/11 15:34:40,  0,+19.2,+25.2,+25.3,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.7226,LLLLLLLLLL,LLLL
        21,2015/05/11 15:35:10,  0,+19.2,+25.3,+25.1,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.7307,LLLLLLLLLL,LLLL
        22,2015/05/11 15:35:40,  0,+19.2,+25.4,+24.9,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.7393,LLLLLLLLLL,LLLL
        23,2015/05/11 15:36:10,  0,+19.2,+25.5,+24.8,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.7111,LLLLLLLLLL,LLLL
        24,2015/05/11 15:36:40,  0,+19.2,+25.5,+24.8,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.6499,LLLLLLLLLL,LLLL
        25,2015/05/11 15:37:10,  0,+19.2,+25.6,+24.8,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5646,LLLLLLLLLL,LLLL
        26,2015/05/11 15:37:40,  0,+19.2,+25.7,+24.9,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4635,LLLLLLLLLL,LLLL
        27,2015/05/11 15:38:10,  0,+19.2,+25.7,+24.9,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3801,LLLLLLLLLL,LLLL
