ベンダ,"GRAPHTEC Corporation"
モデル,"GL220"
バージョン,"Ver1.06  "
測定間隔,30s
測定点数,9057      
開始時刻,2015-05-15,10:21:40
終了時刻,2015-05-18,13:50:10
トリガ時刻,2015-05-15,10:21:50
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1," CH 1",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH2," CH 2",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH3," CH 3",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH4," CH 4",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH5," CH 5",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH6," CH 6",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH7," CH 7",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH8," CH 8",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH9," CH 9",DC,2V,Off,+1.0000,-1.0000,[ V]
CH10," CH10",DC,2V,Off,+1.0000,-1.0000,[ V]
Logic/Pulse,Off
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","degC","degC","degC","degC","degC","V","V","A12345678910","AO1234"
         1,2015/05/15 10:21:50,  0,+21.5,+25.2,+25.1,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2582,LLLLLLLLLL,LLLL
         2,2015/05/15 10:22:20,  0,+21.5,+25.0,+24.9,+24.6,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.2634,LLLLLLLLLL,LLLL
         3,2015/05/15 10:22:50,  0,+21.5,+25.0,+24.6,+24.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.2407,LLLLLLLLLL,LLLL
         4,2015/05/15 10:23:20,  0,+21.5,+24.9,+24.5,+24.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2596,LLLLLLLLLL,LLLL
         5,2015/05/15 10:23:50,  0,+21.5,+24.7,+24.5,+24.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3001,LLLLLLLLLL,LLLL
         6,2015/05/15 10:24:20,  0,+21.5,+24.9,+24.5,+24.4,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3396,LLLLLLLLLL,LLLL
         7,2015/05/15 10:24:50,  0,+21.5,+24.8,+24.5,+24.5,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3590,LLLLLLLLLL,LLLL
         8,2015/05/15 10:25:20,  0,+21.5,+24.6,+24.6,+24.5,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3699,LLLLLLLLLL,LLLL
         9,2015/05/15 10:25:50,  0,+21.4,+24.6,+24.7,+24.6,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3779,LLLLLLLLLL,LLLL
        10,2015/05/15 10:26:20,  0,+21.5,+24.6,+24.8,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3835,LLLLLLLLLL,LLLL
        11,2015/05/15 10:26:50,  0,+21.5,+24.5,+24.9,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3865,LLLLLLLLLL,LLLL
        12,2015/05/15 10:27:20,  0,+21.5,+24.3,+25.0,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3876,LLLLLLLLLL,LLLL
        13,2015/05/15 10:27:50,  0,+21.4,+24.3,+25.0,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3876,LLLLLLLLLL,LLLL
        14,2015/05/15 10:28:20,  0,+21.5,+24.2,+25.1,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3865,LLLLLLLLLL,LLLL
        15,2015/05/15 10:28:50,  0,+21.4,+24.2,+25.2,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3856,LLLLLLLLLL,LLLL
        16,2015/05/15 10:29:20,  0,+21.4,+24.3,+25.2,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3848,LLLLLLLLLL,LLLL
        17,2015/05/15 10:29:50,  0,+21.4,+24.4,+25.3,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.3839,LLLLLLLLLL,LLLL
        18,2015/05/15 10:30:20,  0,+21.4,+24.5,+25.3,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.3824,LLLLLLLLLL,LLLL
        19,2015/05/15 10:30:50,  0,+21.4,+24.6,+25.4,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3813,LLLLLLLLLL,LLLL
        20,2015/05/15 10:31:20,  0,+21.5,+24.7,+25.5,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3806,LLLLLLLLLL,LLLL
